timestamp,type
1557756259999,SCREEN_OFF
1557758360640,UNLOCK
1557758360921,SCREEN_ON
1557758730791,SCREEN_OFF
1557760216584,UNLOCK
1557760216907,SCREEN_ON
1557760411128,SCREEN_OFF
1557760411415,SCREEN_ON
1557760451210,SCREEN_OFF
1557761229494,UNLOCK
1557761229903,SCREEN_ON
1557761293875,SCREEN_OFF
1557761380470,UNLOCK
1557761380683,SCREEN_ON
1557761626631,SCREEN_OFF
1557761898505,UNLOCK
1557761898844,SCREEN_ON
1557762252320,SCREEN_OFF
1557762530630,UNLOCK
1557762531047,SCREEN_ON
1557762939029,SCREEN_OFF
1557762946686,UNLOCK
1557762947048,SCREEN_ON
1557762999142,SCREEN_OFF
1557763029031,SCREEN_ON
1557763029096,UNLOCK
1557764017714,POWER_CONNECTED
1557764280356,SCREEN_OFF
1557764650660,POWER_DISCONNECTED
1557764651125,SCREEN_ON
1557764655115,UNLOCK
1557765328229,POWER_CONNECTED
1557765331366,SCREEN_OFF
1557780874725,SCREEN_ON
1557780894555,SCREEN_OFF
1557708593157,SCREEN_ON
1557708604059,SCREEN_OFF
1557709203021,SCREEN_ON
1557709207818,UNLOCK
1557709274741,POWER_DISCONNECTED
1557709303191,SCREEN_OFF
1557709309540,UNLOCK
1557709309727,SCREEN_ON
1557710303426,SCREEN_OFF
1557710382010,UNLOCK
1557710382301,SCREEN_ON
1557710416021,SCREEN_OFF
1557710498842,UNLOCK
1557710499105,SCREEN_ON
1557710571137,SCREEN_OFF
1557710589589,UNLOCK
1557710589788,SCREEN_ON
1557710599339,SCREEN_OFF
1557710648117,UNLOCK
1557710648265,SCREEN_ON
1557710676366,SCREEN_OFF
1557710723202,UNLOCK
1557710723256,SCREEN_ON
1557710800598,SCREEN_OFF
1557710942512,UNLOCK
1557710942652,SCREEN_ON
1557710988546,SCREEN_OFF
1557711045523,UNLOCK
1557711045579,SCREEN_ON
1557711083832,SCREEN_OFF
1557711092511,UNLOCK
1557711092742,SCREEN_ON
1557711136298,SCREEN_OFF
1557711143404,UNLOCK
1557711143539,SCREEN_ON
1557711216788,SCREEN_OFF
1557711235592,UNLOCK
1557711235638,SCREEN_ON
1557711264337,SCREEN_OFF
1557712741091,UNLOCK
1557712741515,SCREEN_ON
1557712819590,SCREEN_OFF
1557713669720,UNLOCK
1557713669925,SCREEN_ON
1557713684923,SCREEN_OFF
1557714700290,UNLOCK
1557714700502,SCREEN_ON
1557714719522,SCREEN_OFF
1557715738345,UNLOCK
1557715738689,SCREEN_ON
1557715765366,SCREEN_OFF
1557715870481,UNLOCK
1557715870828,SCREEN_ON
1557715946272,SCREEN_OFF
1557716118733,UNLOCK
1557716119087,SCREEN_ON
1557716159225,SCREEN_OFF
1557716249797,UNLOCK
1557716250079,SCREEN_ON
1557716278668,SCREEN_OFF
1557716279367,UNLOCK
1557716279635,SCREEN_ON
1557716298496,SCREEN_OFF
1557717765460,UNLOCK
1557717765905,SCREEN_ON
1557717798698,SCREEN_OFF
1557719296176,UNLOCK
1557719296554,SCREEN_ON
1557719317253,SCREEN_OFF
1557722471832,UNLOCK
1557722472173,SCREEN_ON
1557722488772,SCREEN_OFF
1557723941567,UNLOCK
1557723942030,SCREEN_ON
1557723966288,SCREEN_OFF
1557725299722,SCREEN_ON
1557725306191,UNLOCK
1557725326060,SCREEN_OFF
1557726953664,UNLOCK
1557726954318,SCREEN_ON
1557726989192,SCREEN_OFF
1557727034424,UNLOCK
1557727034801,SCREEN_ON
1557727069882,SCREEN_OFF
1557727426607,SCREEN_ON
1557727437555,SCREEN_OFF
1557727481256,UNLOCK
1557727481497,SCREEN_ON
1557727697694,SCREEN_OFF
1557727743020,UNLOCK
1557727743318,SCREEN_ON
1557727820620,SCREEN_OFF
1557729301694,UNLOCK
1557729301879,SCREEN_ON
1557729333115,SCREEN_OFF
1557729818132,UNLOCK
1557729818470,SCREEN_ON
1557729863099,SCREEN_OFF
1557729952438,SCREEN_ON
1557729952463,UNLOCK
1557729987524,SCREEN_OFF
1557730841155,UNLOCK
1557730841515,SCREEN_ON
1557730884749,SCREEN_OFF
1557731000451,UNLOCK
1557731000662,SCREEN_ON
1557731006415,SCREEN_OFF
1557731059029,UNLOCK
1557731059233,SCREEN_ON
1557731187782,SCREEN_OFF
1557736777917,SCREEN_ON
1557736778018,UNLOCK
1557736809761,SCREEN_OFF
1557736813915,UNLOCK
1557736813971,SCREEN_ON
1557736969942,SCREEN_OFF
1557737115305,UNLOCK
1557737115538,SCREEN_ON
1557737243765,SCREEN_OFF
1557738545404,UNLOCK
1557738545751,SCREEN_ON
1557738562845,SCREEN_OFF
1557739476783,UNLOCK
1557739477012,SCREEN_ON
1557739541413,SCREEN_OFF
1557739752518,UNLOCK
1557739752602,SCREEN_ON
1557739773894,SCREEN_OFF
1557739847285,SCREEN_ON
1557739847297,UNLOCK
1557739853760,SCREEN_OFF
1557739886603,SCREEN_ON
1557739897826,SCREEN_OFF
1557739944474,SCREEN_ON
1557739944523,UNLOCK
1557740186445,SCREEN_OFF
1557740916745,UNLOCK
1557740917161,SCREEN_ON
1557740929401,SCREEN_OFF
1557740964171,UNLOCK
1557740964403,SCREEN_ON
1557740993909,SCREEN_OFF
1557741050448,SCREEN_ON
1557741061559,SCREEN_OFF
1557741281096,UNLOCK
1557741281366,SCREEN_ON
1557741351000,SCREEN_OFF
1557741357169,UNLOCK
1557741357356,SCREEN_ON
1557741380013,SCREEN_OFF
1557742961402,UNLOCK
1557742961828,SCREEN_ON
1557742994028,SCREEN_OFF
1557743757718,UNLOCK
1557743758007,SCREEN_ON
1557743780938,SCREEN_OFF
1557744164394,UNLOCK
1557744164683,SCREEN_ON
1557744249920,SCREEN_OFF
1557744433710,UNLOCK
1557744434072,SCREEN_ON
1557744436930,SCREEN_OFF
1557744639650,UNLOCK
1557744639983,SCREEN_ON
1557744687648,SCREEN_OFF
1557744968142,UNLOCK
1557744968526,SCREEN_ON
1557744972371,SCREEN_OFF
1557745608617,UNLOCK
1557745608964,SCREEN_ON
1557745722884,SCREEN_OFF
1557747061055,UNLOCK
1557747061353,SCREEN_ON
1557747161791,SCREEN_OFF
1557747827693,UNLOCK
1557747827771,SCREEN_ON
1557749998856,SCREEN_OFF
1557750021147,UNLOCK
1557750021311,SCREEN_ON
1557750067442,SCREEN_OFF
1557750487336,UNLOCK
1557750487710,SCREEN_ON
1557750494764,SCREEN_OFF
1557751680959,UNLOCK
1557751681313,SCREEN_ON
1557751693974,SCREEN_OFF
1557752163693,UNLOCK
1557752163993,SCREEN_ON
1557752231161,SCREEN_OFF
1557752539507,UNLOCK
1557752539559,SCREEN_ON
1557752560322,SCREEN_OFF
1557754907334,UNLOCK
1557754907570,SCREEN_ON
1557754947589,SCREEN_OFF
1557755212003,UNLOCK
1557755212314,SCREEN_ON
1557755223827,SCREEN_OFF
1557755614247,UNLOCK
1557755614583,SCREEN_ON
1557755635009,SCREEN_OFF
1557755802041,UNLOCK
1557755802234,SCREEN_ON
1557755860794,SCREEN_OFF
1557755950412,UNLOCK
1557755950632,SCREEN_ON
1557756259999,SCREEN_OFF
1557758360640,UNLOCK
1557758360921,SCREEN_ON
1557758730791,SCREEN_OFF
1557760216584,UNLOCK
1557760216907,SCREEN_ON
1557760411128,SCREEN_OFF
1557760411415,SCREEN_ON
1557760451210,SCREEN_OFF
1557761229494,UNLOCK
1557761229903,SCREEN_ON
1557761293875,SCREEN_OFF
1557761380470,UNLOCK
1557761380683,SCREEN_ON
1557761626631,SCREEN_OFF
1557761898505,UNLOCK
1557761898844,SCREEN_ON
1557762252320,SCREEN_OFF
1557762530630,UNLOCK
1557762531047,SCREEN_ON
1557762939029,SCREEN_OFF
1557762946686,UNLOCK
1557762947048,SCREEN_ON
1557762999142,SCREEN_OFF
1557763029031,SCREEN_ON
1557763029096,UNLOCK
1557764017714,POWER_CONNECTED
1557764280356,SCREEN_OFF
1557764650660,POWER_DISCONNECTED
1557764651125,SCREEN_ON
1557764655115,UNLOCK
1557765328229,POWER_CONNECTED
1557765331366,SCREEN_OFF
1557780874725,SCREEN_ON
1557780894555,SCREEN_OFF
